,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
701,426242,4371211,248.3664,True,604061,0.0,6.1122804,237.28673999999998,0.0,0.0,4.9417919999999995,0.025582947,0.0
704,426575,4371211,207.39467,True,593247,0.122811675,12.870648,188.32643000000002,0.0,0.0,6.176385,0.02120265,0.0019884070536406004
706,426764,4371211,191.36615,True,538731,0.34698814,8.259089999999999,175.92468,0.0,0.0,7.164407300000001,0.017957741,0.004843221853118262
707,426902,4371211,267.27047999999996,True,619069,0.031208162999999997,4.582078500000001,258.53857,0.0,0.0,4.123655,0.026177606000000003,0.0007568082926432981
709,427114,4371211,194.61789,True,530212,0.29177,4.902072,181.93648000000002,0.0,0.0,7.760051,0.019301193,0.003759897969742725
710,427215,4371211,200.50263999999999,True,528355,0.6618488,4.1745787000000005,188.97002,0.0,0.0,7.338334599999999,0.019698068,0.009019059992167707
711,427314,4371211,172.49226000000002,True,471190,0.0,8.841158,159.12951999999999,0.0,0.0,4.501199,0.020402502,0.0
715,427745,4371211,225.56672999999998,True,586569,0.0,4.325622599999999,213.43881000000002,0.0,0.0,7.779582,0.022710817,0.0
716,427829,4371211,118.77162,True,298003,0.035837125,3.8931773,112.45893999999998,0.0,0.0,2.4061183999999995,0.013390285,0.0014894165224786946
719,428158,4371211,216.5997,True,558261,0.3818897,5.905926,204.44211,0.0,0.0,6.2274184,0.024250282,0.006132391875259257
721,428431,4371211,192.03867,True,530870,0.0028560634000000004,6.4008910000000006,178.1123,0.0,0.0,7.5074252999999995,0.018041875,3.8043181062354374e-05
722,428537,4371211,232.03056,True,599275,0.20906347,6.1142683,219.10275,0.0,0.0,6.791609299999999,0.02193002,0.003078261142024174
723,428616,4371211,204.19496,True,533669,0.0076676677,6.231522,192.08183,0.0,0.0,5.866903,0.01469767,0.00013069361637647666
725,428813,4371211,174.98058,True,511406,0.023695556,11.47753,157.98135,0.0,0.0,5.5098294999999995,0.011866423999999999,0.0004300596960395962
726,428927,4371211,213.7221,True,571687,0.109721825,7.776640400000001,199.40204,0.0,0.0,6.516846,0.02658082,0.0016836645364951082
729,429237,4371211,186.86475,True,587080,0.48407152,12.337848,165.40622,0.0,0.0,9.101600999999999,0.01908329,0.005318531541868295
730,429314,4371211,172.9551,True,429403,0.0,5.20844,164.39102,0.0,0.0,3.3403157999999995,0.015312928,0.0
731,429435,4371211,218.21901,True,557777,0.00463571,8.114676,205.59735,0.0,0.0,4.4880586,0.01891887,0.00010328987237376983
732,429556,4371211,203.93536,True,519938,0.0,7.8262215,191.99233999999998,0.0,0.0,4.1009245000000005,0.015880616,0.0
733,429678,4371211,165.82816,True,434005,0.039148558,7.112245,155.02678,0.0,0.0,3.676423,0.0127095,0.0010648545610774385
