S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
2.086196598,5.123406459,121.1540497,2.5,10.697764,10.697764,0.993931703,8.294877926,102,1.290011781,0.570579767,0.05614,99.95781762,131.6461818,485834
2.142548219,3.188870028,109.1463335,3,10.244698,10.244698,0.506097762,9.796008725,230,1.535330198,0.880000055,0.05497,61.23236673,98.51834245,485885
2.042071851,4.958426733,109.5319194,2,10.285814,10.285814,0.821824795,8.876070985,163,1.072586357,0.696463466,0.05189,95.98349925,123.3347186,485919
1.979690713,3.570589683,152.6412223,2,10.533024,10.533024,0.557628097,19.21063415,395,1.712269164,0.855087578,0.08337,83.8365949,136.6683797,486957
1.610790217,3.150119303,73.61288586,2.5,9.66263,9.66263,1.109604132,5.187709534,141,1.313180081,0.47970587,0.02646,77.20263817,93.11109398,487019
1.369474826,3.047669614,74.86460155,3,10.119018,10.119018,0.989652649,6.311122134,248,1.00578048,0.573867679,0.02649,75.34826766,92.08537192,487027
1.352825128,1.066905116,25.4636049,3,9.482672,9.482672,1.570796327,5.707425599,570,1.338082026,0.2,0.00517,58.93791194,61.626902,496978
2.195431223,4.925276491,175.7072354,2,10.923744,10.923744,0.705365847,11.17154365,400,1.477877144,0.772336304,0.04281,159.246532,201.9801333,505788
1.246562184,3.576584735,108.7956192,2,10.801145,10.801145,0.574653829,10.52737635,263,1.063492903,0.846390724,0.05392,132.0746078,152.8461494,508351
2.031882514,4.582249654,99.71899848,2.5,10.261902,10.261902,1.092526612,8.670303437,105,1.375807957,0.493306518,0.05347,83.18553763,109.0494062,508352
1.781776269,2.335093121,78.07122646,3,9.987719,9.987719,0.567321939,12.39236817,538,1.677737981,0.850163817,0.04297,68.53220438,88.00125702,509852
2.01740622,4.761600739,127.2361488,2.5,10.689131,10.689131,0.903071092,10.1134969,174,1.215390162,0.638806641,0.05502,100.6335427,134.9875131,511867
1.930896227,3.915264999,113.824574,2.5,10.483365,10.483365,0.78706488,9.672897646,220,0.875166708,0.719999969,0.04978,73.73334859,109.1541274,514029
1.73551998,6.042690123,123.8054827,2,10.895506,10.895506,0.693763427,6.343141472,98,1.127496509,0.779408574,0.05005,191.1198655,210.2158457,516973
2.031995169,3.244773871,84.54614048,3,10.153067,10.153067,0.740664998,10.02572494,238,1.647977287,0.750257671,0.05081,57.77955942,83.1414603,517070
1.474998977,3.371198755,142.7284055,0.5,11.121292,11.121292,0.856011973,6.856747262,305,1.567540815,0.672633529,0.02817,231.4688141,252.5143774,517278
2.315778904,4.387243824,88.84684876,2.5,10.379851,10.379851,0.831191326,9.506761517,144,1.621306391,0.689999998,0.05861,73.67373273,96.82303529,521991
1.566191797,2.789166764,140.4056978,2.5,10.306777,10.306777,0.484044444,11.16825095,737,0.65641186,0.889999986,0.0286,71.49087693,122.3430647,534753
1.011452995,2.354330572,50.92039155,2.5,10.181461,10.181461,0.657798036,5.572578791,139,0.949584387,0.800731421,0.03691,73.03622394,81.42931379,536625
0.913154182,2.529588297,91.49783547,1,10.971514,10.971514,1.00851521,7.99702947,177,0.893752707,0.559326112,0.04004,175.2852568,186.8444492,537084
1.437195096,2.160942329,43.74391398,3,8.862812,8.862812,1.015338105,3.861119831,141,1.239362993,0.554036617,0.02111,46.99530756,56.26121166,537187
2.828479584,7.185333602,156.6956666,2,10.801093,10.801093,0.870729944,9.250696761,282,1.142354064,0.662177145,0.03966,149.405636,186.0075537,537361
1.918646325,5.262249508,108.9065828,2,10.640357,10.640357,0.913658238,7.292847992,170,1.079514699,0.631043792,0.03943,120.8682828,143.3159575,537426
1.212237727,2.097563787,43.6778399,0,11.341276,11.341276,0.793633463,18.9344096,445,1.181219893,0.715607762,0.05391,273.1864185,274.9267104,543537
2.004994578,4.353877808,174.919716,2,10.897876,10.897876,1.069509302,12.2585332,403,1.286541418,0.511561751,0.03791,128.3966497,178.2811072,543998
1.625950288,4.384248685,157.5559154,1,10.931761,10.931761,0.900526377,5.085294143,121,1.710406179,0.640664458,0.03032,215.2994555,242.4165604,544749
1.528005511,3.846957354,93.84942891,2.5,10.437382,10.437382,1.115911256,6.171867523,213,0.613164618,0.47467351,0.0253,84.12668833,107.1501626,544958
1.588803432,3.62399963,74.21801637,3,10.002231,10.002231,1.444256153,5.044316973,162,0.991958758,0.235138357,0.01654,76.43707349,92.71883941,551202
1.416867217,4.801318129,162.6439922,0.5,11.344357,11.344357,0.849989032,12.4519645,267,1.167779388,0.676878929,0.0562,266.6531061,290.3969922,551505
2.659419178,4.646846032,174.5938547,2,11.08648,11.08648,0.773451116,20.14318084,331,1.936700784,0.729018569,0.0878,110.4786944,165.6715092,551507
1.199731275,2.174951079,81.84095352,3,9.739798,9.739798,0.538469444,8.371898026,717,0.748737956,0.864599586,0.02177,56.76079535,81.06021666,560333
1.385109999,3.921885617,121.3635469,1.5,11.211771,11.211771,0.629027044,17.48159435,489,1.169803136,0.817117572,0.0626,216.3638863,232.7614369,560883
1.353742281,3.767784992,124.4276892,2,10.892035,10.892035,1.197556394,9.309219706,226,1.332633387,0.409438372,0.03487,151.7522039,175.4133869,561020
1.765803064,3.970269032,136.4088401,2,10.868531,10.868531,0.857365501,11.50303084,261,1.767934939,0.671676755,0.05269,126.8943945,159.3921993,567545
0.991663821,1.814093976,52.287086,2.5,10.33401,10.33401,0.522507978,5.377137817,240,0.980609729,0.872299433,0.02822,73.95705577,82.68383022,572402
1.47794107,1.719901457,50.30992961,3,9.596834,9.596834,0.834621748,6.237075716,440,1.385548885,0.687620282,0.0212,56.26738121,66.56998345,585226
2.1200875,4.756199626,147.9720453,2,10.656793,10.656793,0.706257413,10.04263382,247,1.254495559,0.771789014,0.0504,113.8801767,154.6497906,585386
1.081732348,1.659588134,44.53116362,0,11.123335,11.123335,0.874962171,11.91559938,563,1.074729074,0.65914917,0.02951,221.3282241,223.5569168,594049
1.740316765,3.192754003,85.75215841,3,10.021839,10.021839,0.592471372,12.14344441,538,1.163157024,0.837047219,0.04171,68.04901633,91.14485702,598968
1.24496922,2.516824989,86.9835888,2.5,10.720676,10.720676,0.513958135,17.15547015,645,0.952757477,0.876338959,0.05297,78.05734119,99.37817102,599582
2.454003508,4.472434968,192.7499632,2,10.8901005,10.8901005,0.469098801,12.28055662,387,1.410396544,0.89654696,0.05328,102.7537077,170.6886013,599761
0.805396943,2.978128009,65.38179296,0,11.214859,11.214859,0.414324601,12.39702701,392,0.757728734,0.918922484,0.05213,231.3923996,235.9657434,599834
